name,nFunctions,nCoroutines,nChannels,nClasses,should,error,actual,detected
test0,4,4,6,0,true,GraphError,true,false
test1,2,7,4,4,false,InvalidModelError,false,false
test2,4,7,7,5,true,NoError,true,true
test3,7,1,8,1,false,InvalidModelError,true,false
test4,7,5,4,4,true,NoError,true,true
test5,4,1,2,3,false,InvalidModelError,false,false
test6,7,1,5,0,true,KotlinRuntimeError,false,false
test7,4,8,3,2,true,NoError,false,false
test8,6,2,2,1,true,UnknownResultError,true,false
test9,5,4,7,5,false,InvalidModelError,false,false
test10,7,3,4,3,false,InvalidModelError,true,false
test11,7,4,3,0,false,KotlinRuntimeError,false,false
test12,2,5,2,1,true,NoError,false,true
test13,8,1,7,1,false,NoError,true,true
test14,6,5,8,1,false,NoError,true,true
test15,7,2,6,0,false,UnknownResultError,true,false
test16,7,6,5,4,false,InvalidModelError,false,false
test17,5,5,8,4,true,NoError,true,true
test18,7,6,8,5,true,NoError,true,true
test18,7,6,8,5,true,NoError,true,true
test19,7,6,6,2,false,InvalidModelError,false,false
test19,7,6,6,2,false,InvalidModelError,false,false
test20,5,8,3,1,true,KotlinRuntimeError,false,false
test21,3,6,5,0,false,KotlinRuntimeError,false,false
test22,8,5,6,1,true,NoError,true,true
test23,7,8,4,3,false,NoError,false,true
test25,3,1,1,5,true,InvalidModelError,true,false
test26,4,8,5,5,true,KotlinRuntimeError,false,false
test27,6,6,3,1,true,NoError,false,true
test28,2,4,8,2,true,NoError,true,true
test29,4,2,8,1,true,GraphError,true,false
test30,6,5,6,5,false,InvalidModelError,true,false
