name,nFunctions,nCoroutines,nChannels,nClasses,should,error,actual,detected,loopy
test0,4,4,6,0,true,GraphError,true,false,false
test1,2,7,4,4,false,NoError,false,true,true
test2,4,7,7,5,true,NoError,true,true,false
test3,7,1,8,1,false,NoError,true,true,false
test4,7,5,4,4,true,NoError,true,true,true
test5,4,1,2,3,false,NoError,false,true,true
test6,7,1,5,0,true,NoError,true,true,false
test7,4,8,3,2,true,NoError,false,false,false
test8,6,2,2,1,true,NoError,true,true,true
test9,5,4,7,5,false,NoError,false,true,true
test10,7,3,4,3,false,NoError,true,true,false
test11,7,4,3,0,false,KotlinRuntimeError,false,false,true
test12,2,5,2,1,true,NoError,false,false,true
test13,8,1,7,1,false,NoError,true,true,true
test14,6,5,8,1,false,NoError,true,true,true
test15,7,2,6,0,false,NoError,true,false,false
test16,7,6,5,4,false,NoError,false,true,true
test17,5,5,8,4,true,NoError,true,true,true
test18,7,6,8,5,true,NoError,true,true,false
test19,7,6,6,2,false,NoError,false,false,true
test20,5,8,3,1,true,NoError,true,true,true
test21,3,6,5,0,false,NoError,true,true,true
test22,8,5,6,1,true,NoError,true,true,false
test23,7,8,4,3,false,NoError,false,true,true
test25,3,1,1,5,true,NoError,true,true,false
test26,4,8,5,5,true,GraphError,true,false,false
test27,6,6,3,1,true,NoError,false,false,false
test28,2,4,8,2,true,NoError,true,true,false
test29,4,2,8,1,true,GraphError,true,false,false
test30,6,5,6,5,false,NoError,true,true,true
test31,7,6,2,0,false,KotlinRuntimeError,false,false,true
test32,5,2,2,0,true,NoError,true,true,false
test33,8,7,6,4,false,NoError,true,true,false
test34,8,6,6,5,false,GraphError,false,false,true
test35,5,1,1,3,true,NoError,true,true,false
test36,8,8,4,3,true,KotlinCompileError,false,false,false
test37,6,1,8,3,false,NoError,true,true,false
test38,3,4,3,5,true,NoError,true,true,false
test39,3,8,1,1,false,NoError,false,false,true
test40,7,8,1,5,false,NoError,true,false,true
test41,2,2,6,2,false,KotlinCompileError,false,false,true
test42,7,6,7,3,false,NoError,true,false,false
test43,4,5,2,1,true,NoError,true,true,false
test44,2,2,4,1,true,NoError,true,true,false
test45,3,2,5,2,false,NoError,true,true,false
test46,2,6,7,0,true,NoError,true,true,false
test47,8,1,6,1,true,NoError,true,false,false
test48,8,8,6,3,true,NoError,true,true,false
test49,4,5,7,3,false,NoError,false,true,true
test50,7,4,1,4,false,NoError,false,false,true
test51,5,1,3,5,true,GraphError,true,false,false
test52,7,5,4,2,true,NoError,false,false,false
test53,3,1,1,2,true,NoError,false,false,true
test54,5,7,4,0,false,NoError,false,true,true
test55,4,4,5,5,true,NoError,true,true,false
test56,2,6,5,0,false,NoError,false,true,true
test57,6,3,4,3,false,NoError,true,true,true
test58,5,2,3,2,true,GraphError,true,false,false
test59,3,7,4,5,true,NoError,true,true,false
test60,8,3,1,5,true,NoError,true,true,false
test61,7,7,7,5,false,NoError,true,true,true
test62,8,1,7,1,true,NoError,true,true,false
test63,8,5,2,4,false,NoError,true,true,true
test64,4,4,8,0,false,NoError,true,true,true
test65,4,2,6,4,false,NoError,true,true,false
test66,4,6,1,4,true,NoError,true,false,false
test67,8,5,1,1,false,NoError,false,true,true
test68,7,7,4,0,true,NoError,true,true,false
test69,3,6,2,2,false,NoError,false,false,true
test70,6,3,7,3,false,GraphError,false,false,false
test71,7,5,7,1,true,NoError,true,true,false
test72,2,4,7,5,true,NoError,true,true,false
test73,3,2,2,4,true,KotlinCompileError,false,false,false
test74,3,3,4,4,true,NoError,true,true,false
test75,5,8,1,5,false,NoError,true,true,true
test76,5,3,4,4,false,NoError,false,false,false
test77,2,2,6,0,false,NoError,true,true,true
test78,2,6,3,3,true,NoError,true,true,true
test79,3,1,5,5,false,NoError,true,true,true
test80,7,4,7,5,false,NoError,false,true,true
test81,7,6,8,0,false,NoError,true,true,false
test82,6,2,7,2,true,NoError,false,false,true
test83,6,1,7,2,false,KotlinCompileError,false,false,false
test84,6,2,4,0,false,KotlinCompileError,false,false,true
test85,4,4,6,0,false,NoError,false,true,true
test86,5,5,2,1,true,NoError,true,true,false
test87,4,4,3,0,false,NoError,false,true,true
test88,5,2,4,3,true,NoError,true,true,true
test89,3,8,4,3,false,NoError,true,true,true
test90,8,1,5,2,true,NoError,true,true,false
test91,8,4,7,3,true,NoError,true,true,false
test92,4,2,4,0,true,NoError,true,true,false
test93,2,8,8,0,false,NoError,true,true,true
test94,2,2,6,0,true,NoError,true,true,false
test95,7,3,2,1,true,KotlinCompileError,false,false,true
test96,7,4,3,1,false,NoError,false,true,true
test97,2,5,3,2,false,NoError,false,false,true
test98,4,7,7,2,false,KotlinRuntimeError,false,false,true
test99,3,2,6,4,false,NoError,false,false,false
test101,4,7,1,3,true,NoError,true,false,true
test102,5,8,4,1,false,NoError,false,false,true
test103,7,7,7,1,false,NoError,false,true,true
test104,5,5,2,1,false,NoError,true,true,true
test105,6,1,3,5,false,NoError,false,false,true
test106,3,8,2,5,false,NoError,true,true,true
test107,4,6,1,4,true,NoError,true,true,true
test108,7,2,6,0,true,NoError,true,false,true
test109,4,1,5,0,true,GraphError,true,false,false
test110,6,3,7,5,true,NoError,true,false,true
test111,3,2,7,5,false,InvalidModelError,true,false,true
test112,8,2,5,3,true,NoError,true,true,false
test113,4,8,6,3,false,NoError,false,true,true
test114,5,2,1,2,false,NoError,true,false,false
test115,4,6,2,2,false,NoError,true,false,true
test116,4,7,8,2,false,GraphError,true,false,true
test117,5,3,2,3,true,NoError,false,false,true
test118,4,7,4,5,false,NoError,true,false,false
test119,6,1,1,3,true,NoError,true,true,true
test120,5,7,1,1,true,NoError,true,true,true
test121,8,7,3,1,true,NoError,true,true,false
test122,6,7,4,0,false,NoError,false,true,true
test123,7,3,8,5,true,NoError,true,true,false
test125,7,7,3,5,false,NoError,false,true,true
test126,3,7,3,2,true,NoError,true,true,true
test127,2,8,2,2,true,NoError,true,true,true
test128,2,2,3,5,false,NoError,true,false,true
test129,7,4,5,3,true,GraphError,false,false,false
test130,7,3,8,5,true,NoError,true,true,false
test131,8,7,8,5,true,NoError,true,true,false
test132,4,4,6,0,false,NoError,true,true,true
test133,6,7,6,5,true,NoError,true,true,true
test134,8,4,4,1,false,NoError,true,true,true
test135,5,2,7,5,false,NoError,true,true,true
test136,8,5,8,3,false,NoError,false,false,false
test137,4,7,2,2,false,NoError,false,true,true
test138,7,1,1,4,false,NoError,false,true,false
test139,8,7,3,3,false,NoError,true,true,true
test140,4,7,7,4,true,NoError,true,true,false
test141,4,8,1,3,true,NoError,true,true,true
test144,6,1,2,3,false,NoError,false,true,true
test145,2,5,1,5,true,NoError,true,true,true
test146,7,1,8,4,false,NoError,true,true,false
test147,7,6,4,5,true,InvalidModelError,true,false,false
test148,8,1,4,2,false,NoError,true,true,true
test149,3,2,1,1,true,NoError,true,false,true
test150,7,6,4,1,false,NoError,true,true,true
test151,3,8,6,0,true,NoError,true,true,false
test152,7,8,1,5,true,NoError,false,true,false
test153,7,2,7,2,true,NoError,true,true,false
test155,7,3,4,1,false,NoError,true,true,false
test156,2,5,8,2,true,WriteToPromError,true,false,true
test157,3,2,5,3,true,NoError,true,true,false
test159,3,8,4,1,false,NoError,true,true,true
test160,4,3,4,2,true,NoError,true,true,false
test161,2,7,2,5,true,NoError,true,true,false
test162,3,2,5,2,false,NoError,false,true,true
test163,2,5,3,5,false,NoError,true,true,true
test164,4,7,3,5,true,NoError,true,true,true
test165,2,7,5,4,false,NoError,true,true,true
test166,8,2,1,5,false,NoError,false,false,false
test167,3,3,5,4,true,NoError,true,true,false
test168,4,3,7,0,false,NoError,true,true,true
test169,3,1,8,5,true,NoError,true,true,false
test170,6,6,3,1,false,NoError,false,false,true
test171,4,4,2,5,false,NoError,false,false,false
test172,6,4,1,0,true,NoError,true,true,false
test173,8,3,3,0,true,GraphError,true,false,false
test174,8,3,7,4,true,NoError,true,true,false
test175,5,6,5,4,false,NoError,true,false,true
test176,8,7,4,5,true,NoError,true,false,false
test177,7,7,4,5,true,NoError,true,true,false
test178,4,6,6,4,false,NoError,false,false,true
test180,3,6,6,4,false,NoError,false,false,true
test181,7,6,8,2,false,NoError,true,true,true
test182,5,3,7,0,true,NoError,true,true,false
test183,8,1,2,2,false,NoError,true,true,true
test184,6,8,8,5,false,NoError,false,false,true
test185,7,3,4,4,true,GraphError,true,false,false
test186,4,3,8,3,false,KotlinRuntimeError,false,false,true
test187,7,7,1,4,true,NoError,true,true,true
test188,6,6,2,4,true,NoError,false,true,false
test189,6,2,6,5,false,NoError,true,false,true
test190,6,7,6,3,false,NoError,true,true,true
test191,6,7,5,0,false,NoError,true,true,true
test192,3,4,3,0,false,NoError,false,true,true
test193,7,7,5,1,false,NoError,true,true,false
test194,4,2,5,4,false,NoError,false,false,true
test195,6,3,3,5,false,NoError,false,true,true
test196,7,6,5,4,true,NoError,true,true,true
test197,5,5,3,0,true,GraphError,true,false,false
test198,8,4,7,1,true,NoError,true,true,false
test199,2,6,3,4,false,NoError,true,false,true
test200,7,2,1,0,true,NoError,false,false,false
test201,5,3,2,3,true,NoError,true,false,true
test202,4,1,7,3,true,NoError,true,true,false
test203,5,7,7,3,true,NoError,true,false,true
test204,5,1,3,5,false,NoError,true,true,false
test205,5,4,6,1,false,NoError,false,false,true
test206,4,3,8,1,true,NoError,true,true,false
test207,4,8,1,4,false,NoError,false,false,true
test208,4,4,5,5,true,NoError,false,false,false
test209,4,1,7,2,true,GraphError,true,false,false
test210,4,6,8,0,false,NoError,true,false,false
test211,5,5,4,4,false,NoError,false,true,true
test212,2,6,2,5,false,NoError,true,false,true
test214,3,1,4,4,true,NoError,true,true,false
test215,8,3,6,5,true,NoError,true,true,false
test216,2,2,4,1,true,NoError,true,true,false
test217,3,5,1,3,true,NoError,true,true,true
test218,3,3,1,2,true,NoError,true,true,true
test219,6,4,1,4,true,NoError,false,false,false
test220,6,7,8,3,true,NoError,true,true,false
test221,6,5,6,2,true,NoError,true,true,false
test222,3,7,8,3,true,NoError,true,true,true
test223,6,1,1,4,true,NoError,true,true,true
test224,8,1,2,5,true,NoError,true,true,true
test225,3,2,3,4,true,NoError,true,true,false
test226,4,1,1,5,true,NoError,false,false,true
test227,6,7,1,1,false,NoError,false,false,false
test228,6,6,7,0,true,NoError,true,false,false
test229,2,4,2,5,false,NoError,true,true,false
test230,4,7,2,2,true,NoError,true,true,true
test231,8,4,2,0,false,NoError,false,false,true
test232,8,7,7,3,true,NoError,true,true,false
test233,7,8,5,4,true,NoError,true,true,false
test234,6,3,4,2,false,NoError,true,true,true
test235,4,7,7,2,true,GraphError,true,false,true
test236,8,8,4,3,false,NoError,false,false,true
test237,3,1,7,3,false,NoError,true,true,true
test238,4,3,2,5,false,NoError,false,false,false
test239,8,3,8,4,true,GraphError,true,false,false
test240,6,1,1,0,true,NoError,true,true,false
test242,8,5,5,3,true,GraphError,true,false,true
test243,3,3,3,2,true,NoError,true,true,true
test244,3,2,7,5,false,WriteToPromError,false,false,true
test245,7,4,7,5,false,NoError,true,true,false
test246,5,5,4,3,true,NoError,false,false,false
test247,4,4,6,5,false,NoError,false,true,false
