name,nFunctions,nCoroutines,nChannels,nClasses,should,error,actual,detected
test0,4,4,6,0,true,GraphError,true,false
test1,2,7,4,4,false,InvalidModelError,false,false
test2,4,7,7,5,true,NoError,true,true
test3,7,1,8,1,false,InvalidModelError,true,false
test4,7,5,4,4,true,NoError,true,true
test5,4,1,2,3,false,InvalidModelError,false,false
test6,7,1,5,0,true,KotlinRuntimeError,false,false
test7,4,8,3,2,true,NoError,false,false
test8,6,2,2,1,true,UnknownResultError,true,false
test9,5,4,7,5,false,InvalidModelError,false,false
test10,7,3,4,3,false,InvalidModelError,true,false
test11,7,4,3,0,false,KotlinRuntimeError,false,false
test12,2,5,2,1,true,NoError,false,true
test13,8,1,7,1,false,NoError,true,true
test14,6,5,8,1,false,NoError,true,true
test15,7,2,6,0,false,UnknownResultError,true,false
test16,7,6,5,4,false,InvalidModelError,false,false
test17,5,5,8,4,true,NoError,true,true
test18,7,6,8,5,true,NoError,true,true
test18,7,6,8,5,true,NoError,true,true
test19,7,6,6,2,false,InvalidModelError,false,false
test19,7,6,6,2,false,InvalidModelError,false,false
test20,5,8,3,1,true,KotlinRuntimeError,false,false
test21,3,6,5,0,false,KotlinRuntimeError,false,false
test22,8,5,6,1,true,NoError,true,true
test23,7,8,4,3,false,NoError,false,true
test25,3,1,1,5,true,InvalidModelError,true,false
test26,4,8,5,5,true,KotlinRuntimeError,false,false
test27,6,6,3,1,true,NoError,false,true
test28,2,4,8,2,true,NoError,true,true
test29,4,2,8,1,true,GraphError,true,false
test30,6,5,6,5,false,InvalidModelError,true,false
test31,7,6,2,0,false,KotlinRuntimeError,false,false
test32,5,2,2,0,true,KotlinRuntimeError,false,false
test33,8,7,6,4,false,InvalidModelError,true,false
test34,8,6,6,5,false,GraphError,false,false
test35,5,1,1,3,true,InvalidModelError,true,false
test36,8,8,4,3,true,KotlinCompileError,false,false
test37,6,1,8,3,false,NoError,true,true
test38,3,4,3,5,true,NoError,true,true
test39,3,8,1,1,false,NoError,false,true
test40,7,8,1,5,false,KotlinRuntimeError,false,false
test41,2,2,6,2,false,KotlinCompileError,false,false
test42,7,6,7,3,false,UnknownResultError,true,false
test43,4,5,2,1,true,NoError,true,true
test44,2,2,4,1,true,NoError,true,true
test45,3,2,5,2,false,NoError,true,true
test46,2,6,7,0,true,NoError,true,true
test47,8,1,6,1,true,NoError,true,true
test48,8,8,6,3,true,NoError,true,true
test49,4,5,7,3,false,InvalidModelError,false,false
test50,7,4,1,4,false,KotlinRuntimeError,false,false
test51,5,1,3,5,true,GraphError,true,false
test52,7,5,4,2,true,KotlinRuntimeError,false,false
test53,3,1,1,2,true,NoError,false,true
test54,5,7,4,0,false,KotlinRuntimeError,false,false
test55,4,4,5,5,true,KotlinRuntimeError,false,false
test56,2,6,5,0,false,InvalidModelError,false,false
test57,6,3,4,3,false,NoError,true,true
test58,5,2,3,2,true,GraphError,true,false
test59,3,7,4,5,true,NoError,true,true
test60,8,3,1,5,true,InvalidModelError,true,false
test61,7,7,7,5,false,KotlinRuntimeError,false,false
test62,8,1,7,1,true,NoError,true,true
test63,8,5,2,4,false,KotlinRuntimeError,false,false
test64,4,4,8,0,false,NoError,true,false
test65,4,2,6,4,false,InvalidModelError,true,false
test66,4,6,1,4,true,KotlinRuntimeError,false,false
test67,8,5,1,1,false,NoError,false,true
test68,7,7,4,0,true,KotlinRuntimeError,false,false
test69,3,6,2,2,false,NoError,false,true
test70,6,3,7,3,false,GraphError,false,false
test71,7,5,7,1,true,NoError,true,true
test72,2,4,7,5,true,NoError,true,true
test73,3,2,2,4,true,KotlinCompileError,false,false
test74,3,3,4,4,true,KotlinRuntimeError,false,false
test75,5,8,1,5,false,KotlinRuntimeError,false,false
test76,5,3,4,4,false,InvalidModelError,false,false
test77,2,2,6,0,false,KotlinRuntimeError,false,false
test78,2,6,3,3,true,NoError,true,true
test79,3,1,5,5,false,NoError,true,true
test80,7,4,7,5,false,NoError,false,true
test81,7,6,8,0,false,NoError,true,true
test82,6,2,7,2,true,NoError,false,false
test83,6,1,7,2,false,KotlinCompileError,false,false
test84,6,2,4,0,false,KotlinCompileError,false,false
test85,4,4,6,0,false,NoError,false,true
test86,5,5,2,1,true,NoError,true,false
test87,4,4,3,0,false,InvalidModelError,false,false
test88,5,2,4,3,true,InvalidModelError,true,false
test89,3,8,4,3,false,KotlinRuntimeError,false,false
test90,8,1,5,2,true,InvalidModelError,true,false
test91,8,4,7,3,true,KotlinRuntimeError,false,false
test92,4,2,4,0,true,NoError,true,true
test93,2,8,8,0,false,NoError,true,true
test94,2,2,6,0,true,NoError,true,true
test95,7,3,2,1,true,KotlinCompileError,false,false
test96,7,4,3,1,false,InvalidModelError,false,false
test97,2,5,3,2,false,KotlinRuntimeError,false,false
test98,4,7,7,2,false,KotlinRuntimeError,false,false
test99,3,2,6,4,false,KotlinRuntimeError,false,false
test101,4,7,1,3,true,NoError,true,false
test102,5,8,4,1,false,NoError,false,true
test103,7,7,7,1,false,NoError,false,true
test104,5,5,2,1,false,KotlinRuntimeError,false,false
test105,6,1,3,5,false,KotlinRuntimeError,false,false
test106,3,8,2,5,false,KotlinRuntimeError,false,false
test107,4,6,1,4,true,NoError,true,true
test108,7,2,6,0,true,UnknownResultError,true,false
test109,4,1,5,0,true,GraphError,true,false
test110,6,3,7,5,true,NoError,true,true
test111,3,2,7,5,false,InvalidModelError,true,false
test112,8,2,5,3,true,NoError,true,true
test113,4,8,6,3,false,KotlinRuntimeError,false,false
test114,5,2,1,2,false,NoError,true,true
test115,4,6,2,2,false,InvalidModelError,true,false
test116,4,7,8,2,false,InvalidModelError,true,false
test116,4,7,8,2,false,NoError,true,true
test117,5,3,2,3,true,NoError,false,true
test118,4,7,4,5,false,InvalidModelError,true,false
test119,6,1,1,3,true,NoError,true,true
test120,5,7,1,1,true,KotlinRuntimeError,false,false
test121,8,7,3,1,true,InvalidModelError,true,false
test122,6,7,4,0,false,InvalidModelError,false,false
test122,6,7,4,0,false,InvalidModelError,false,false
test122,6,7,4,0,false,InvalidModelError,false,false
test123,7,3,8,5,true,NoError,true,true
test125,7,7,3,5,false,NoError,false,true
test126,3,7,3,2,true,NoError,true,true
test127,2,8,2,2,true,NoError,true,true
test128,2,2,3,5,false,NoError,true,true
test129,7,4,5,3,true,KotlinRuntimeError,false,false
test130,7,3,8,5,true,NoError,true,true
test131,8,7,8,5,true,NoError,true,true
test132,4,4,6,0,false,KotlinRuntimeError,false,false
test133,6,7,6,5,true,NoError,true,true
test134,8,4,4,1,false,NoError,true,true
test135,5,2,7,5,false,InvalidModelError,true,false
test136,8,5,8,3,false,KotlinRuntimeError,false,false
test137,4,7,2,2,false,KotlinRuntimeError,false,false
test138,7,1,1,4,false,NoError,false,true
test139,8,7,3,3,false,KotlinRuntimeError,false,false
test140,4,7,7,4,true,KotlinRuntimeError,false,false
test141,4,8,1,3,true,KotlinRuntimeError,false,false
test144,6,1,2,3,false,NoError,false,true
test145,2,5,1,5,true,NoError,true,true
test146,7,1,8,4,false,NoError,true,true
test147,7,6,4,5,true,InvalidModelError,true,false
test148,8,1,4,2,false,KotlinRuntimeError,false,false
test149,3,2,1,1,true,NoError,true,true
test150,7,6,4,1,false,KotlinRuntimeError,false,false
test151,3,8,6,0,true,KotlinRuntimeError,false,false
test152,7,8,1,5,true,NoError,false,true
test153,7,2,7,2,true,NoError,true,true
test155,7,3,4,1,false,NoError,true,true
test156,2,5,8,2,true,WriteToPromError,true,false
test157,3,2,5,3,true,NoError,true,true
test159,3,8,4,1,false,KotlinRuntimeError,false,false
test160,4,3,4,2,true,KotlinRuntimeError,false,false
test161,2,7,2,5,true,KotlinRuntimeError,false,false
test162,3,2,5,2,false,InvalidModelError,false,false
test163,2,5,3,5,false,NoError,true,true
test164,4,7,3,5,true,NoError,true,true
test165,2,7,5,4,false,KotlinRuntimeError,false,false
test166,8,2,1,5,false,InvalidModelError,false,false
test167,3,3,5,4,true,NoError,true,true
test168,4,3,7,0,false,InvalidModelError,true,false
test169,3,1,8,5,true,InvalidModelError,true,false
test170,6,6,3,1,false,NoError,false,true
test171,4,4,2,5,false,NoError,false,true
test172,6,4,1,0,true,NoError,true,false
test173,8,3,3,0,true,GraphError,true,false
test174,8,3,7,4,true,KotlinRuntimeError,false,false
test175,5,6,5,4,false,NoError,true,true
test176,8,7,4,5,true,NoError,true,false
test177,7,7,4,5,true,NoError,true,true
test178,4,6,6,4,false,NoError,false,true
test180,3,6,6,4,false,NoError,false,true
test181,7,6,8,2,false,NoError,true,true
test182,5,3,7,0,true,KotlinRuntimeError,false,false
test183,8,1,2,2,false,NoError,true,false
test184,6,8,8,5,false,KotlinRuntimeError,false,false
test185,7,3,4,4,true,InvalidModelError,true,false
test186,4,3,8,3,false,KotlinRuntimeError,false,false
test187,7,7,1,4,true,NoError,true,true
